FIPS,Geography,Science_Engineering,Science_Engineering_Related Fields,Business,Education,Arts
VA51001,"Accomack County, Virginia",1503,412,802,700,956
VA51003,"Albemarle County, Virginia",15387,3615,4300,3225,9560
VA51005,"Alleghany County, Virginia",647,228,214,330,490
VA51007,"Amelia County, Virginia",349,96,322,212,277
VA51009,"Amherst County, Virginia",1254,389,707,899,998
VA51011,"Appomattox County, Virginia",712,238,233,458,480
VA51013,"Arlington County, Virginia",58607,5962,21464,5619,33440
VA51015,"Augusta County, Virginia",4401,1466,2091,1959,2606
VA51017,"Bath County, Virginia",225,0,71,47,190
VA51019,"Bedford County, Virginia",5234,1534,2936,2265,3348
VA51021,"Bland County, Virginia",258,97,192,148,127
VA51023,"Botetourt County, Virginia",2048,741,1562,948,1271
VA51025,"Brunswick County, Virginia",323,162,335,332,326
VA51027,"Buchanan County, Virginia",502,202,264,462,290
VA51029,"Buckingham County, Virginia",424,110,210,302,423
VA51031,"Campbell County, Virginia",2379,886,1295,1422,1969
VA51033,"Caroline County, Virginia",1448,298,630,660,775
VA51035,"Carroll County, Virginia",700,282,370,862,594
VA51036,"Charles City County, Virginia",258,29,98,114,195
VA51037,"Charlotte County, Virginia",336,58,140,255,318
VA51041,"Chesterfield County, Virginia",27502,7465,19762,10006,18229
VA51043,"Clarke County, Virginia",989,244,528,347,939
VA51045,"Craig County, Virginia",204,90,97,20,101
VA51047,"Culpeper County, Virginia",2719,528,1378,1202,1463
VA51049,"Cumberland County, Virginia",271,55,257,181,271
VA51051,"Dickenson County, Virginia",360,118,132,390,183
VA51053,"Dinwiddie County, Virginia",966,409,900,623,449
VA51057,"Essex County, Virginia",492,58,287,165,314
VA51059,"Fairfax County, Virginia",218986,27852,87377,29332,99723
VA51061,"Fauquier County, Virginia",6392,870,2443,1781,4114
VA51063,"Floyd County, Virginia",818,132,321,323,428
VA51065,"Fluvanna County, Virginia",2136,570,836,767,1427
VA51067,"Franklin County, Virginia",2378,951,1686,1322,2008
VA51069,"Frederick County, Virginia",5875,1711,2907,2755,2973
VA51071,"Giles County, Virginia",810,151,249,339,362
VA51073,"Gloucester County, Virginia",2347,389,1082,789,1343
VA51075,"Goochland County, Virginia",2123,571,1248,573,1361
VA51077,"Grayson County, Virginia",460,134,168,209,249
VA51079,"Greene County, Virginia",1238,280,440,391,862
VA51081,"Greensville County, Virginia",245,48,174,162,107
VA51083,"Halifax County, Virginia",1229,264,720,869,910
VA51085,"Hanover County, Virginia",8903,2432,5686,2914,5553
VA51087,"Henrico County, Virginia",35113,6502,19114,8654,20488
VA51089,"Henry County, Virginia",1254,329,1015,889,896
VA51091,"Highland County, Virginia",144,22,60,33,155
VA51093,"Isle of Wight County, Virginia",2458,631,1517,1065,1342
VA51095,"James City County, Virginia",9978,1843,4160,3027,5801
VA51097,"King and Queen County, Virginia",393,75,129,178,244
VA51099,"King George County, Virginia",2988,344,827,610,911
VA51101,"King William County, Virginia",672,157,475,348,441
VA51103,"Lancaster County, Virginia",947,282,305,305,747
VA51105,"Lee County, Virginia",558,316,392,502,380
VA51107,"Loudoun County, Virginia",62195,7974,29208,9006,27440
VA51109,"Louisa County, Virginia",1959,315,974,844,1324
VA51111,"Lunenburg County, Virginia",271,63,185,291,260
VA51113,"Madison County, Virginia",935,101,345,355,650
VA51115,"Mathews County, Virginia",626,259,306,272,339
VA51117,"Mecklenburg County, Virginia",1213,380,611,872,863
VA51119,"Middlesex County, Virginia",566,153,425,268,526
VA51121,"Montgomery County, Virginia",12626,2124,2358,2354,5293
VA51125,"Nelson County, Virginia",1331,201,457,478,795
VA51127,"New Kent County, Virginia",1445,380,837,338,731
VA51131,"Northampton County, Virginia",643,246,357,186,465
VA51133,"Northumberland County, Virginia",733,208,495,567,604
VA51135,"Nottoway County, Virginia",399,228,386,207,458
VA51137,"Orange County, Virginia",2165,599,1028,995,1581
VA51139,"Page County, Virginia",661,164,378,475,537
VA51141,"Patrick County, Virginia",616,53,472,352,361
VA51143,"Pittsylvania County, Virginia",1973,471,1390,1312,1480
VA51145,"Powhatan County, Virginia",1868,489,1505,677,1275
VA51147,"Prince Edward County, Virginia",1004,288,448,443,826
VA51149,"Prince George County, Virginia",1672,556,1482,674,1347
VA51153,"Prince William County, Virginia",44259,7152,26014,9887,23365
VA51155,"Pulaski County, Virginia",1331,421,1106,804,985
VA51157,"Rappahannock County, Virginia",637,163,308,118,586
VA51159,"Richmond County, Virginia",183,103,248,136,227
VA51161,"Roanoke County, Virginia",7989,2485,4489,3090,4783
VA51163,"Rockbridge County, Virginia",1546,241,560,678,1200
VA51165,"Rockingham County, Virginia",4034,1482,2237,2163,3175
VA51167,"Russell County, Virginia",808,195,347,682,633
VA51169,"Scott County, Virginia",586,259,310,484,435
VA51171,"Shenandoah County, Virginia",1714,482,1309,899,1589
VA51173,"Smyth County, Virginia",813,301,575,789,881
VA51175,"Southampton County, Virginia",516,124,506,494,504
VA51177,"Spotsylvania County, Virginia",9225,1922,5099,3278,5475
VA51179,"Stafford County, Virginia",12105,2232,7308,3169,8003
VA51181,"Surry County, Virginia",383,81,165,186,316
VA51183,"Sussex County, Virginia",394,68,193,211,237
VA51185,"Tazewell County, Virginia",992,506,1141,1060,865
VA51187,"Warren County, Virginia",1643,429,821,859,1582
VA51191,"Washington County, Virginia",3204,1091,1905,1545,2112
VA51193,"Westmoreland County, Virginia",939,254,533,454,557
VA51195,"Wise County, Virginia",1143,403,732,878,878
VA51197,"Wythe County, Virginia",1086,431,531,868,605
VA51199,"York County, Virginia",7305,1878,4105,2177,3747
VA51510,"Alexandria city, Virginia",32016,4110,12070,3487,19816
VA51520,"Bristol city, Virginia",904,273,466,391,841
VA51530,"Buena Vista city, Virginia",295,0,117,80,175
VA51540,"Charlottesville city, Virginia",6917,1057,1140,639,4523
VA51550,"Chesapeake city, Virginia",16965,4751,9272,6352,9615
VA51570,"Colonial Heights city, Virginia",879,183,591,491,535
VA51580,"Covington city, Virginia",191,21,68,40,122
VA51590,"Danville city, Virginia",1763,490,1052,578,1428
VA51595,"Emporia city, Virginia",151,50,99,121,146
VA51600,"Fairfax city, Virginia",4144,589,1420,643,2298
VA51610,"Falls Church city, Virginia",3538,265,1137,489,2053
VA51620,"Franklin city, Virginia",404,61,222,239,365
VA51630,"Fredericksburg city, Virginia",2827,338,1050,783,1956
VA51640,"Galax city, Virginia",101,70,95,100,110
VA51650,"Hampton city, Virginia",7362,2209,4415,2742,4960
VA51660,"Harrisonburg city, Virginia",3114,958,1152,1191,2717
VA51670,"Hopewell city, Virginia",601,56,387,512,576
VA51678,"Lexington city, Virginia",417,54,126,143,397
VA51680,"Lynchburg city, Virginia",5444,1150,1890,1720,4443
VA51683,"Manassas city, Virginia",3102,474,1289,1045,1979
VA51685,"Manassas Park city, Virginia",1109,444,576,253,734
VA51690,"Martinsville city, Virginia",615,178,365,302,269
VA51700,"Newport News city, Virginia",9857,2696,5810,3359,6909
VA51710,"Norfolk city, Virginia",14768,3433,6612,4512,10692
VA51720,"Norton city, Virginia",101,81,115,98,90
VA51730,"Petersburg city, Virginia",860,510,715,660,923
5VA1735,"Poquoson city, Virginia",1305,262,566,539,707
VA51740,"Portsmouth city, Virginia",4594,1357,2471,1608,3345
VA51750,"Radford city, Virginia",854,273,333,324,766
VA51760,"Richmond city, Virginia",20190,3757,8043,4046,17734
VA51770,"Roanoke city, Virginia",5355,1422,2406,1542,5146
VA51775,"Salem city, Virginia",1461,457,823,847,978
VA51790,"Staunton city, Virginia",2077,304,671,883,1900
VA51800,"Suffolk city, Virginia",5673,1595,2902,1926,3305
VA51810,"Virginia Beach city, Virginia",36049,9462,22091,12715,22788
VA51820,"Waynesboro city, Virginia",1000,335,663,629,691
VA51830,"Williamsburg city, Virginia",1693,152,574,364,1367
VA51840,"Winchester city, Virginia",1936,723,730,674,1593
